time, MasterClock,ClkStage,Accumulator,DataAddress,DataIn,DataOut,Write,InstructionAddress,FetchNext,InstructionIn,InstructionRegister
206,1,2,1,2,0,1,1,45,0,a0,a8,
207,1,0,1,2,0,1,0,46,0,ac,a0,ac,[96]:       outPrev     # should go to 1
208,1,1,1,2,0,1,0,46,0,ac,a0,
209,1,2,1,2,0,1,1,46,0,ac,a0,
210,1,0,1,2,0,1,0,47,0,ac,ac,ac,[97]:       outPrev     # should go to 0
211,1,1,1,1,1,1,0,47,0,ac,ac,
212,1,2,1,1,1,1,1,47,0,ac,ac,
213,1,0,1,1,1,1,0,48,0,c0,ac,c0 00,[101]:       inFrom 0    # should come from 0
214,1,1,1,0,0,1,0,48,0,c0,ac,
215,1,2,1,0,0,1,1,48,0,c0,ac,
216,1,0,1,0,0,0,0,49,0,0,c0,
217,1,1,1,0,0,0,0,49,1,0,c0,
218,1,2,0,0,0,0,0,49,1,0,c0,
219,1,0,0,0,0,0,0,4a,1,b0,c0,b0,[102]:       in          # should come from 0
220,1,1,0,0,0,0,0,4a,0,b0,c0,
221,1,2,0,0,0,0,0,4a,0,b0,c0,
222,1,0,0,0,0,0,0,4b,0,b8,b0,b8,[103]:       inNext      # should come from 1
223,1,1,0,0,0,0,0,4b,0,b8,b0,
224,1,2,0,0,0,0,0,4b,0,b8,b0,
225,1,0,0,0,0,0,0,4c,0,b8,b8,b8,[104]:       inNext      # should come from 2
226,1,1,0,1,1,0,0,4c,0,b8,b8,
227,1,2,1,1,1,0,0,4c,0,b8,b8,
228,1,0,1,1,1,0,0,4d,0,b0,b8,b0,[105]:       in          # should come from 2
229,1,1,1,2,0,0,0,4d,0,b0,b8,
230,1,2,0,2,0,0,0,4d,0,b0,b8,
231,1,0,0,2,0,0,0,4e,0,bc,b0,bc,[106]:       inPrev      # should come from 1
232,1,1,0,2,0,0,0,4e,0,bc,b0,
233,1,2,0,2,0,0,0,4e,0,bc,b0,
234,1,0,0,2,0,0,0,4f,0,bc,bc,bc,[107]:       inPrev      # should come from 0
235,1,1,0,1,1,0,0,4f,0,bc,bc,
236,1,2,1,1,1,0,0,4f,0,bc,bc,
